year,level_1,value
1960,Total Residents,1646400
1960,Total Male Residents,859600
1960,Total Female Residents,786800
1960,Total Malays,232200
1960,Total Male Malays,121000
1960,Total Female Malays,111200
1960,Total Chinese,1251600
1960,Total Male Chinese,636000
1960,Total Female Chinese,615600
1960,Total Indians,133200
1960,Total Male Indians,88000
1960,Total Female Indians,45200
1960,Other Ethnic Groups (Total),29400
1960,Other Ethnic Groups (Males),14600
1960,Other Ethnic Groups (Females),14800
1961,Total Residents,1702400
1961,Total Male Residents,886500
1961,Total Female Residents,815900
1961,Total Malays,242500
1961,Total Male Malays,125700
1961,Total Female Malays,116800
1961,Total Chinese,1295000
1961,Total Male Chinese,657600
1961,Total Female Chinese,637400
1961,Total Indians,135700
1961,Total Male Indians,88800
1961,Total Female Indians,46900
1961,Other Ethnic Groups (Total),29200
1961,Other Ethnic Groups (Males),14400
1961,Other Ethnic Groups (Females),14800
1962,Total Residents,1750200
1962,Total Male Residents,909500
1962,Total Female Residents,840700
1962,Total Malays,250300
1962,Total Male Malays,129300
1962,Total Female Malays,121000
1962,Total Chinese,1333000
1962,Total Male Chinese,676500
1962,Total Female Chinese,656500
1962,Total Indians,137100
1962,Total Male Indians,89000
1962,Total Female Indians,48100
1962,Other Ethnic Groups (Total),29800
1962,Other Ethnic Groups (Males),14700
1962,Other Ethnic Groups (Females),15100
1963,Total Residents,1795000
1963,Total Male Residents,929300
1963,Total Female Residents,865700
1963,Total Malays,257200
1963,Total Male Malays,132000
1963,Total Female Malays,125200
1963,Total Chinese,1369300
1963,Total Male Chinese,694200
1963,Total Female Chinese,675100
1963,Total Indians,137400
1963,Total Male Indians,87900
1963,Total Female Indians,49500
1963,Other Ethnic Groups (Total),31100
1963,Other Ethnic Groups (Males),15200
1963,Other Ethnic Groups (Females),15900
1964,Total Residents,1841600
1964,Total Male Residents,951500
1964,Total Female Residents,890100
1964,Total Malays,267000
1964,Total Male Malays,136700
1964,Total Female Malays,130300
1964,Total Chinese,1405500
1964,Total Male Chinese,712300
1964,Total Female Chinese,693200
1964,Total Indians,138400
1964,Total Male Indians,87400
1964,Total Female Indians,51000
1964,Other Ethnic Groups (Total),30700
1964,Other Ethnic Groups (Males),15100
1964,Other Ethnic Groups (Females),15600
1965,Total Residents,1886900
1965,Total Male Residents,973800
1965,Total Female Residents,913100
1965,Total Malays,277000
1965,Total Male Malays,141400
1965,Total Female Malays,135600
1965,Total Chinese,1439500
1965,Total Male Chinese,729500
1965,Total Female Chinese,710000
1965,Total Indians,140500
1965,Total Male Indians,88000
1965,Total Female Indians,52500
1965,Other Ethnic Groups (Total),29900
1965,Other Ethnic Groups (Males),14900
1965,Other Ethnic Groups (Females),15000
1966,Total Residents,1934400
1966,Total Male Residents,995800
1966,Total Female Residents,938600
1966,Total Malays,287700
1966,Total Male Malays,146500
1966,Total Female Malays,141200
1966,Total Chinese,1473800
1966,Total Male Chinese,746700
1966,Total Female Chinese,727100
1966,Total Indians,141200
1966,Total Male Indians,87200
1966,Total Female Indians,54000
1966,Other Ethnic Groups (Total),31700
1966,Other Ethnic Groups (Males),15400
1966,Other Ethnic Groups (Females),16300
1967,Total Residents,1977600
1967,Total Male Residents,1017400
1967,Total Female Residents,960200
1967,Total Malays,295800
1967,Total Male Malays,150400
1967,Total Female Malays,145400
1967,Total Chinese,1504400
1967,Total Male Chinese,762100
1967,Total Female Chinese,742300
1967,Total Indians,142900
1967,Total Male Indians,87500
1967,Total Female Indians,55400
1967,Other Ethnic Groups (Total),34500
1967,Other Ethnic Groups (Males),17400
1967,Other Ethnic Groups (Females),17100
1968,Total Residents,2012000
1968,Total Male Residents,1034100
1968,Total Female Residents,977900
1968,Total Malays,300500
1968,Total Male Malays,152600
1968,Total Female Malays,147900
1968,Total Chinese,1531400
1968,Total Male Chinese,774700
1968,Total Female Chinese,756700
1968,Total Indians,144600
1968,Total Male Indians,88200
1968,Total Female Indians,56400
1968,Other Ethnic Groups (Total),35500
1968,Other Ethnic Groups (Males),18600
1968,Other Ethnic Groups (Females),16900
1969,Total Residents,2042500
1969,Total Male Residents,1046900
1969,Total Female Residents,995600
1969,Total Malays,306000
1969,Total Male Malays,155600
1969,Total Female Malays,150400
1969,Total Chinese,1555000
1969,Total Male Chinese,784900
1969,Total Female Chinese,770100
1969,Total Indians,145100
1969,Total Male Indians,87900
1969,Total Female Indians,57200
1969,Other Ethnic Groups (Total),36400
1969,Other Ethnic Groups (Males),18500
1969,Other Ethnic Groups (Females),17900
1970,Total Residents,2013563
